ID,x,y,var,year,month,value,name
1,418750,4081250,tm3,1980,01,8.300000190734863,APH
1,418750,4081250,tm3,1980,02,11.899999618530273,APH
1,418750,4081250,tm3,1980,03,11.5,APH
1,418750,4081250,tm3,1980,04,13.300000190734863,APH
1,418750,4081250,tm3,1980,05,14.899999618530273,APH
1,418750,4081250,tm3,1980,06,23.200000762939453,APH
1,418750,4081250,tm3,1980,07,27.5,APH
1,418750,4081250,tm3,1980,08,29.200000762939453,APH
1,418750,4081250,tm3,1980,09,23.899999618530273,APH
1,418750,4081250,tm3,1980,10,16.200000762939453,APH
1,418750,4081250,tm3,1980,11,10.800000190734863,APH
1,418750,4081250,tm3,1980,12,7.599999904632568,APH
1,418750,4081250,tm3,1981,01,10.399999618530273,APH
1,418750,4081250,tm3,1981,02,10.300000190734863,APH
1,418750,4081250,tm3,1981,03,15.699999809265137,APH
1,418750,4081250,tm3,1981,04,12.600000381469727,APH
1,418750,4081250,tm3,1981,05,18.5,APH
1,418750,4081250,tm3,1981,06,25.399999618530273,APH
1,418750,4081250,tm3,1981,07,26.299999237060547,APH
1,418750,4081250,tm3,1981,08,26,APH
1,418750,4081250,tm3,1981,09,24.899999618530273,APH
1,418750,4081250,tm3,1981,10,21.200000762939453,APH
1,418750,4081250,tm3,1981,11,15.300000190734863,APH
1,418750,4081250,tm3,1981,12,9.899999618530273,APH
1,418750,4081250,tm3,1982,01,10,APH
1,418750,4081250,tm3,1982,02,9.199999809265137,APH
1,418750,4081250,tm3,1982,03,12.5,APH
1,418750,4081250,tm3,1982,04,12.899999618530273,APH
1,418750,4081250,tm3,1982,05,17.700000762939453,APH
1,418750,4081250,tm3,1982,06,25.100000381469727,APH
1,418750,4081250,tm3,1982,07,28.799999237060547,APH
1,418750,4081250,tm3,1982,08,26.200000762939453,APH
1,418750,4081250,tm3,1982,09,22.200000762939453,APH
1,418750,4081250,tm3,1982,10,16.299999237060547,APH
1,418750,4081250,tm3,1982,11,11.399999618530273,APH
1,418750,4081250,tm3,1982,12,8.300000190734863,APH
1,418750,4081250,tm3,1983,01,12.600000381469727,APH
1,418750,4081250,tm3,1983,02,8.600000381469727,APH
1,418750,4081250,tm3,1983,03,14.399999618530273,APH
1,418750,4081250,tm3,1983,04,13.399999618530273,APH
1,418750,4081250,tm3,1983,05,17.700000762939453,APH
1,418750,4081250,tm3,1983,06,25.200000762939453,APH
1,418750,4081250,tm3,1983,07,29.100000381469727,APH
1,418750,4081250,tm3,1983,08,26.100000381469727,APH
1,418750,4081250,tm3,1983,09,25.700000762939453,APH
1,418750,4081250,tm3,1983,10,20.299999237060547,APH
1,418750,4081250,tm3,1983,11,14,APH
1,418750,4081250,tm3,1983,12,11.199999809265137,APH
1,418750,4081250,tm3,1984,01,9.399999618530273,APH
1,418750,4081250,tm3,1984,02,9.300000190734863,APH
1,418750,4081250,tm3,1984,03,8.399999618530273,APH
1,418750,4081250,tm3,1984,04,14,APH
1,418750,4081250,tm3,1984,05,11,APH
1,418750,4081250,tm3,1984,06,20.799999237060547,APH
1,418750,4081250,tm3,1984,07,29.700000762939453,APH
